name    0    1    2    3
旧梦一场（DJ沈念版）    530.3471    15.33068025455797    0.08755159958720218    -0.008324733402139683
《微微》    348.0706    10.853013653013722    -0.770979020979025    0.03414918414918433
超级喜欢你    910.2434    9.390938690938707    -0.03929958929959294    -0.01998186998186985
我和你    706.2263    8.202329152329153    0.44356199356199244    -0.041750841750841705
陪你长大 - 大攀（长大版）    1995.4848    4.867471417471395    0.05507825507826054    -0.009595959595959914
回到夏天    15.3412    1.9518317853457134    0.3051083591331256    -0.013390092879258852
我的小宝贝-剪辑版    910.1727    3.191758241758267    0.27077922077921884    -0.028671328671328628
溯 (Reverse) feat. 马吟吟    1277.56    5.806759906759964    -0.44440559440559996    0.021561771561771748
一千零一次我爱你    267.8067    -6.892035742035808    2.5884615384615364    -0.1588966588966585
捣蛋鬼    743.5682    0.019289044289025295    0.4975524475524501    -0.017191142191142428
挣钱难DJ    576.3636    0.8982128982129752    0.46247086247084807    -0.032711732711731945
一起长大的幸福    535.4646    2.3115403115402695    0.24175269175269867    -0.017573167573167875
画眉鸟叫    495.5033    3.22231934731935    0.15885780885781012    -0.022552447552447702
我很可爱    622.4864    -0.5893745143744965    0.8505827505827402    -0.052466977466976816
桥边姑娘-宋小睿    260.4633    3.3016122766122695    0.2656759906759909    -0.026845376845376828
小可爱 （我的小可爱 今天有没有乖）    669.5533    -2.2502331002331735    1.6519230769230835    -0.09935897435897467
心上人呀    22.9503    0.5777722277722009    0.31033966033966265    -0.015384615384615496
画皮    -7.9773    23.03315850815858    -0.24370629370630167    -0.05413752913752887
