name    c    1    2
旧梦一场（DJ沈念版）    527.5    16.99562693498452    -0.13721620227038214
《微微》    353.8077    6.6868131868131915    -0.05384615384615393
超级喜欢你    907.5159    11.499025974025981    -0.4289460539460549
我和你    700.5273    12.607042957042944    -0.37057942057942034
陪你长大 - 大攀（长大版）    1994.175    5.879845154845165    -0.13204295704295765
回到夏天    10.7618    4.629850361197108    -0.056424148606811095
我的小宝贝-剪辑版    906.2591    6.216583416583436    -0.28831168831168963
溯 (Reverse) feat. 马吟吟    1279.41    4.165909090909118    -0.08863636363636564
一千零一次我爱你    254.1733    5.199999999999994    -0.033333333333333014
捣蛋鬼    741.6909    1.569930069930076    0.18811188811188775
挣钱难DJ    572.7915    3.8488111888112115    -0.12634032634032769
一起长大的幸福    533.0659    4.1655094905094785    -0.10092407592407505
画眉鸟叫    493.5683    4.938560606060629    -0.2132575757575776
我很可爱    616.757    4.143146853146828    -0.09382284382284184
桥边姑娘-宋小睿    258.16    5.3445454545454565    -0.1772727272727274
小可爱 （我的小可爱 今天有没有乖）    661.0283    5.310984848484849    0.012500000000000235
心上人呀    20.3657    2.454695304695305    -0.01273726273726264
画皮    -13.8891    27.916363636363656    -1.2181818181818194
旧梦一场（DJ沈念版）    527.5    16.99562693498452    -0.13721620227038214
旧梦一场（DJ沈念版）    527.5    16.99562693498452    -0.13721620227038214
旧梦一场（DJ沈念版）    527.5    16.99562693498452    -0.13721620227038214
旧梦一场（DJ沈念版）    527.5    16.99562693498452    -0.13721620227038214
旧梦一场（DJ沈念版）    527.5    16.99562693498452    -0.13721620227038214
旧梦一场（DJ沈念版）    527.5    16.99562693498452    -0.13721620227038214
旧梦一场（DJ沈念版）    527.5    16.99562693498452    -0.13721620227038214
旧梦一场（DJ沈念版）    527.5    16.99562693498452    -0.13721620227038214
旧梦一场（DJ沈念版）    527.5    16.99562693498452    -0.13721620227038214
旧梦一场（DJ沈念版）    527.5    16.99562693498452    -0.13721620227038214
《微微》    353.8077    6.6868131868131915    -0.05384615384615393
超级喜欢你    907.5159    11.499025974025981    -0.4289460539460549
我和你    700.5273    12.607042957042944    -0.37057942057942034
陪你长大 - 大攀（长大版）    1994.175    5.879845154845165    -0.13204295704295765
回到夏天    10.7618    4.629850361197108    -0.056424148606811095
我的小宝贝-剪辑版    906.2591    6.216583416583436    -0.28831168831168963
溯 (Reverse) feat. 马吟吟    1279.41    4.165909090909118    -0.08863636363636564
一千零一次我爱你    254.1733    5.199999999999994    -0.033333333333333014
捣蛋鬼    741.6909    1.569930069930076    0.18811188811188775
挣钱难DJ    572.7915    3.8488111888112115    -0.12634032634032769
一起长大的幸福    533.0659    4.1655094905094785    -0.10092407592407505
画眉鸟叫    493.5683    4.938560606060629    -0.2132575757575776
我很可爱    616.757    4.143146853146828    -0.09382284382284184
桥边姑娘-宋小睿    258.16    5.3445454545454565    -0.1772727272727274
小可爱 （我的小可爱 今天有没有乖）    661.0283    5.310984848484849    0.012500000000000235
心上人呀    20.3657    2.454695304695305    -0.01273726273726264
画皮    -13.8891    27.916363636363656    -1.2181818181818194
旧梦一场（DJ沈念版）    527.5    16.99562693498452    -0.13721620227038214
《微微》    353.8077    6.6868131868131915    -0.05384615384615393
超级喜欢你    907.5159    11.499025974025981    -0.4289460539460549
我和你    700.5273    12.607042957042944    -0.37057942057942034
陪你长大 - 大攀（长大版）    1994.175    5.879845154845165    -0.13204295704295765
回到夏天    10.7618    4.629850361197108    -0.056424148606811095
我的小宝贝-剪辑版    906.2591    6.216583416583436    -0.28831168831168963
溯 (Reverse) feat. 马吟吟    1279.41    4.165909090909118    -0.08863636363636564
一千零一次我爱你    254.1733    5.199999999999994    -0.033333333333333014
捣蛋鬼    741.6909    1.569930069930076    0.18811188811188775
挣钱难DJ    572.7915    3.8488111888112115    -0.12634032634032769
一起长大的幸福    533.0659    4.1655094905094785    -0.10092407592407505
画眉鸟叫    493.5683    4.938560606060629    -0.2132575757575776
我很可爱    616.757    4.143146853146828    -0.09382284382284184
桥边姑娘-宋小睿    258.16    5.3445454545454565    -0.1772727272727274
小可爱 （我的小可爱 今天有没有乖）    661.0283    5.310984848484849    0.012500000000000235
心上人呀    20.3657    2.454695304695305    -0.01273726273726264
画皮    -13.8891    27.916363636363656    -1.2181818181818194
